# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.701500e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (-4.987236e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	6.730623e+01	3.372878e+01	3.357745e+01	6.863330e-02	-7.699933e-01	8.386266e-01	-8.043099e-01	7.566525e-02	-1.094409e+01	3.704951e-01	-1.075884e+01	1.112934e+01
2             	4.785211e+01	2.417243e+01	2.367968e+01	1.393598e-01	-7.121770e-01	8.515368e-01	-7.818569e-01	2.463757e-01	-1.734457e+01	7.569512e-01	-1.696610e+01	1.772305e+01
3             	4.523712e+00	2.420400e+00	2.103311e+00	8.609653e-02	-7.684381e-01	8.545346e-01	-8.114864e-01	1.585444e-01	-3.912075e+00	1.079121e+00	-3.372515e+00	4.451635e+00
4             	-9.892383e+00	-4.887120e+00	-5.005263e+00	1.167232e-02	-4.348128e-01	4.464851e-01	-4.406490e-01	5.907170e-02	3.968032e+00	7.861369e-01	4.361101e+00	-3.574964e+00
5             	-3.871434e+00	-2.016529e+00	-1.854905e+00	-2.920495e-02	1.022112e-01	-1.314161e-01	1.168137e-01	-8.081157e-02	5.357955e+00	5.581473e-01	5.637029e+00	-5.078881e+00
6             	3.384577e+00	1.707302e+00	1.677275e+00	-1.442626e-02	2.160686e-01	-2.304949e-01	2.232818e-01	1.501373e-02	3.411675e+00	5.519330e-01	3.687642e+00	-3.135709e+00
7             	4.791610e+00	2.466504e+00	2.325106e+00	2.141376e-02	-2.794516e-02	4.935892e-02	-3.865204e-02	7.069857e-02	3.001034e+00	7.630580e-01	3.382563e+00	-2.619505e+00
8             	3.237464e+00	1.720774e+00	1.516690e+00	3.918722e-02	-2.524075e-01	2.915947e-01	-2.720011e-01	1.020421e-01	3.565284e+00	8.945866e-01	4.012578e+00	-3.117991e+00
9             	2.114657e+00	1.134698e+00	9.799591e-01	3.763820e-02	-3.067343e-01	3.443725e-01	-3.255534e-01	7.736929e-02	4.119657e+00	8.938434e-01	4.566578e+00	-3.672735e+00
10            	2.081660e+00	1.093497e+00	9.881621e-01	3.114046e-02	-2.793095e-01	3.104500e-01	-2.948797e-01	5.266769e-02	4.431221e+00	8.651808e-01	4.863812e+00	-3.998631e+00
11            	2.421390e+00	1.258291e+00	1.163098e+00	3.227816e-02	-2.819942e-01	3.142724e-01	-2.981333e-01	4.759652e-02	4.615714e+00	8.684610e-01	5.049944e+00	-4.181483e+00
12            	2.579431e+00	1.334145e+00	1.245286e+00	3.619446e-02	-3.060441e-01	3.422385e-01	-3.241413e-01	4.442919e-02	4.905112e+00	9.116295e-01	5.360927e+00	-4.449297e+00
